	Cis_wide	Cis_narrow	Trans_wide	Trans_narrow
12124	0.84751895	0.55539170	1.65916748	1.41399404
12189	0.82441011	0.55815384	1.64065880	1.40196576
12254	0.83223734	0.55051637	1.64834501	1.40108189
12320	0.82877018	0.55042840	1.65888574	1.40681146
12385	0.83102979	0.55983335	1.63213174	1.39500431
12450	0.83572411	0.56875847	1.64512862	1.40872138
12515	0.83208772	0.56104078	1.67348989	1.41520826
12580	0.84954546	0.57500720	1.66365304	1.41911430
12645	0.82009019	0.55146117	1.66727936	1.42422913
12710	0.84025605	0.55299204	1.63119947	1.40350550
12775	0.83532277	0.56331767	1.64478613	1.40310495
12840	0.82403619	0.56014808	1.66351812	1.41864699
12905	0.83525336	0.55932338	1.64421409	1.40693263
12970	0.85338185	0.56797267	1.65685799	1.41673340
13036	0.82613996	0.55059296	1.66539372	1.41776465
13101	0.82318238	0.55751355	1.68209259	1.42642056
13166	0.85173034	0.56590489	1.63893466	1.39571092
13231	0.83516372	0.55082229	1.66510837	1.42859748
13296	0.84763557	0.56479124	1.64887305	1.40665285
13361	0.84746737	0.57054673	1.65064496	1.41092477
13426	0.83888473	0.56886289	1.64956266	1.40922365
13491	0.82940551	0.56718412	1.66507573	1.41188901
13556	0.82179676	0.55423534	1.65173354	1.40907280
13621	0.83594487	0.56119602	1.66641846	1.40385735
13686	0.84122813	0.56929530	1.65876448	1.40949246
13751	0.87384476	0.57235208	1.64038536	1.40228380
13816	0.85143292	0.56206691	1.68577903	1.42647676
13881	0.83757571	0.55763434	1.65662356	1.41528657
13946	0.84256653	0.56439879	1.65252749	1.41200380
14011	0.85710684	0.56164218	1.65683890	1.39865480
14076	0.82377974	0.55728326	1.65905582	1.42455482
14141	0.84833020	0.56518574	1.65695841	1.40447099
14207	0.84840198	0.56479129	1.65487276	1.40532918
14272	0.84210430	0.56434518	1.69946398	1.44407421
14337	0.82662055	0.55504646	1.67560128	1.43720665
14402	0.81210637	0.55686523	1.66120699	1.41406246
14467	0.85767161	0.55994368	1.65783088	1.41657878
14532	0.82054700	0.55533906	1.62768457	1.39564714
14597	0.84671503	0.56539768	1.64351550	1.39124269
14662	0.84395060	0.55464009	1.66531876	1.41812420
14727	0.83450229	0.56412536	1.68704084	1.43743305
14792	0.82845276	0.55823408	1.65898702	1.40470294
14857	0.83328150	0.55447579	1.65037446	1.40866995
14922	0.86187329	0.56675075	1.66951889	1.41494828
14987	0.82352702	0.56080241	1.65903740	1.41429439
15052	0.83291977	0.56449431	1.66770702	1.41092980
15117	0.85220036	0.56382129	1.65396552	1.39539067
15182	0.84531749	0.56421424	1.67984756	1.42999119
15247	0.81906718	0.55308032	1.65094878	1.40162594
15313	0.84784833	0.55651514	1.65707183	1.40497951
15378	0.84397279	0.56141855	1.67496698	1.41289374
15443	0.84063634	0.56519903	1.66314992	1.41481151
15508	0.83656864	0.56240673	1.66952668	1.41959791
15573	0.84432335	0.56086676	1.64424792	1.40043205
15638	0.84700882	0.56445614	1.64388350	1.41115627
15703	0.83001359	0.55281711	1.65419847	1.41211959
15768	0.84882032	0.55389334	1.66138723	1.40049754
15833	0.85165707	0.55894174	1.64239708	1.40313503
15898	0.82803419	0.55267834	1.64323387	1.39456403
15964	0.85380318	0.55435591	1.63459395	1.39605912
16029	0.83626355	0.55310665	1.66828903	1.42107962
16094	0.83318487	0.55459471	1.63230619	1.39567904
16159	0.83082098	0.55935891	1.65151503	1.40715588
16224	0.85238834	0.56813269	1.64347658	1.40651990
16289	0.83927638	0.56470761	1.66018495	1.41189501
16354	0.85411883	0.56105968	1.65377989	1.40258312
16419	0.84132474	0.55121585	1.63602014	1.39984344
16484	0.85205802	0.56818192	1.63946719	1.37896548
